Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1817,999.9,999.9,999.9,999.9,999.9,999.9,999.9,15.5,4.6,-3.1,-10.5,-25.2,999.9
1818,-13,-20.2,-4.5,0.6,5.7,13.9,14.2,14.3,9,-2,-12.2,-9.7,-0.3
1819,-11,-17.3,-6.9,-2.9,3.7,15.6,15.8,12.8,9.6,2.1,-12.5,-17.2,-0.7
1820,-20.2,-17.2,-2.6,2.9,8.5,15,17.3,12.6,8.5,2.7,-7.6,-15.1,0.4
1821,-12.8,-12.6,-7.3,0.1,9.3,13.2,17.1,13.5,6.3,4,-4.5,-11.6,1.2
1822,-8.9,-4,0,2.4,4,13,16.6,13.3,9.8,1.7,-7.7,-9.4,2.6
1823,-18.8,-13.4,-1.9,-0.7,8.4,17.9,16.6,14,9.1,0.1,-14.6,-13.2,0.3
1824,-18.4,-12.1,-3.2,-1.1,5,10.8,18.4,14,9.9,1.9,-2.5,-6.7,1.3
1825,-9.5,-11.6,-4.2,2.5,4,15.5,17,15.7,6,1.1,-0.7,-10.6,2.1
1826,-14.9,-18.1,-3.1,4.5,9.9,14.2,20,15.8,10.1,1.2,-3.2,-5.8,2.6
1827,-11,-12.5,-2.1,6.1,8.8,12.4,18.2,15.5,7.9,-3.1,-1.5,-21.2,1.5
1828,-26.9,-17.6,-5.1,2.2,8.7,17.4,13.7,14.9,5.7,1.5,-6.3,-14.1,-0.5
1829,-15.6,-12.1,-8.8,-5.2,8.8,13.8,17.6,13.6,8.7,3.4,-6.2,-19.6,-0.1
1830,-15.1,-11.2,-7.4,0.4,5.4,16.7,18.6,15.5,7.6,-0.2,-2.8,-6.2,1.8
1831,-18.2,-9.1,-8.5,0.1,7.8,12.4,16.1,11.7,6.1,-1.8,-4.6,-14.3,-0.2
1832,-20.2,-8.6,-5.6,-0.5,7.4,10.8,16.8,11.7,8.6,1.6,-8.8,-13.6,0
1833,-20.1,-11.5,-7.9,1.5,3.4,14.6,16.1,13.4,8.9,1.5,-1.6,-17.2,0.1
1834,-21,-14.9,-5.1,0.8,5.8,13.4,13.1,15.4,7.4,4,-8,-11.7,-0.1
1835,-13,-8.8,-2.5,1.7,4.8,12.1,13.6,11.4,7.8,2.9,-9.9,-27.8,-0.6
